title,company,location,description,employment_type,contract_type,date_posted,job_url
Instructor Ai/ product development/sustainability,HUBBERS,France,"About Hubbers Hubbers stands at the forefront of fostering sustainable and innovative consumer product development. Our mission, ""Training the Next Generation of Impact Generators"" revolves around empowering individuals with the knowledge and skills to transform innovative ideas into impactful realities. By bringing together a vibrant community of creators, experts, and enthusiasts, we champion solutions aligned with the Sustainable Development Goals (SDGs). Position Overview We are looking for…",,,2024-11-17,https://www.adzuna.fr/land/ad/4941934537?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=FE522369CF981044C27488B9290A0EA7144AF772
Courtier en Assurance des professionnels chez AI Assurances,IFCV,France,"AI ASSURANCES en partenariat avec IFCV recrute des Courtiers en Assurance des Professionnels en BAC3 CCBA (Conseiller Clientèle Banque et Assurance) en alternance pour une durée de 12 mois. AI Assurances est une société de courtage en assurances pour les professionnels comme les particuliers. Au quotidien, AI Assurances met son expérience et sa réactivité au service des clients pour leur permettre de souscrire aux meilleurs contrats et réaliser les placements les plus adaptés. MISSIONS :  Accom…",,,2024-09-15,https://www.adzuna.fr/land/ad/4864578632?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=38AC4949F22860A1603591AF0B41343E46996195
Courtier en assurance des professionnels chez AI Assurances,IFCV,"Paris, Ile-de-France","AI ASSURANCES en partenariat avec IFCV recrutes des Courtiers en Assurance des Professionnels en BAC3 CCBA (Conseiller Clientèle Banque et Assurance) en alternance pour une durée de 12 mois. AI Assurances est une société de courtage en assurances dédiée aux professionnels comme aux particuliers. Au quotidien, AI Assurances mettent leur expérience et réactivité à votre service pour vous permettre de souscrire aux meilleurs contrats et réaliser les placements les plus adaptés. MISSSIONS :  Accomp…",,,2024-09-14,https://www.adzuna.fr/land/ad/4863471910?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=003AA76BE1F257C8B9AEBE746FA5474B20B3AD7C
Consultant / Architecte DATA & AI - MICROSOFT,Groupe Talents Handicap,France,"En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums. L'entreprise Sopra Steria recherche actuellement des profils : Description de l'entreprise Sopra Steria, acteur majeur de la Tech en Europe avec 55 000 collaborateurs dans près de 30 pays, est reconnu pour ses activités de conseil, de services numér…",permanent,,2024-10-14,https://www.adzuna.fr/land/ad/4901216800?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=E87147EEE621DC83149D784266FC4FAB36B404F6
Product Manager Intern - AI-native startup,Stealth Startup,"Paris, Ile-de-France"," About Us Are you eager to build an AI-native app that will impact the lives of millions? Backed by top-tier European & US VC firms, we are on a mission to craft the ultimate dating experience by creating an AI that combines the warmth of human intuition with the most advanced matching technology. After 15 months of building the tech, our product is now available in Australia, showing strong user retention metrics (and a lot of dates ). The company was founded in July 2023 by serial entrepreneu…",,,2024-11-01,https://www.adzuna.fr/land/ad/4921118081?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=9E3855EF4DE6DDEB801FB9878E4A650E81126145
AI Engineer,Osium,"Paris, Ile-de-France","About the role As an AI engineer, you will have the opportunity to contribute to building a unique AI technology and help us radically transform materials and chemicals innovation. What you can expect: You will build state-of-the art AI technologies You will interact closely with developers and product teams to build a technology which will have a direct impact on our users You will directly report to the CTO You will contribute to a strong mission where AI is key If you have an AI background a…",,,2024-11-11,https://www.adzuna.fr/land/ad/4934705750?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=FDA86C8B2C8B212A51845EC437FBDDC4565EF86E
AI Engineer,Osium,"Paris, Ile-de-France","This internship can last between 3 months and 6 months. As an AI intern, you will have the opportunity to contribute to building a unique technology and help us radically transform materials and chemicals innovation. What you can expect: You will build state-of-the art machine learning models You will interact closely with developers and product teams to build a technology which will have a direct impact on our users You will directly report to the CTO You will contribute to a strong mission wh…",,,2024-11-11,https://www.adzuna.fr/land/ad/4934702423?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=E92D706C4D31F63DB16136A90103C4DE9E77F2E0
AI Engineer,Bloomfield Robotics Inc.,"Paris, Ile-de-France","About the Company Plant level knowledge is vital to satisfying the food production needs from projected a forty percent increase in world population over the next thirty years. We support that goal by continuously and automatically assessing the health and performance of the world’s $1T specialty crops, one plant at a time, with deep learning and imaging. Currently, Bloomfield is focused on wine, table, and juice grapes as well as, more recently, blueberries. Our portable Flash cameras and supp…",,,2024-11-11,https://www.adzuna.fr/land/ad/4934708432?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=4AABBE2E758E434E4C52D6EBE37B90CCB83255EF
AI Engineer,Top Remote Talent,"8ème Arrondissement, Paris","Our client is a leader in the single-family rental (SFR) investment market, offering a comprehensive platform designed to make real estate investing more accessible, cost-effective, and straightforward. They combine a deep passion for helping investors build wealth through real estate with cutting-edge technology that redefines the investment process. With a dynamic team of over 600 professionals, their collaborative and proactive culture drives their rapid growth. After closing a Series E fund…",,,2024-11-07,https://www.adzuna.fr/details/4930493389?utm_medium=api&utm_source=e74b959f
AI Engineer,Bloomfield Robotics,"8ème Arrondissement, Paris","About the Company Plant level knowledge is vital to satisfying the food production needs from projected a forty percent increase in world population over the next thirty years. We support that goal by continuously and automatically assessing the health and performance of the world’s $1T specialty crops, one plant at a time, with deep learning and imaging. Currently, Bloomfield is focused on wine, table, and juice grapes as well as, more recently, blueberries. Our portable Flash cameras and supp…",,full_time,2024-09-22,https://www.adzuna.fr/details/4872706194?utm_medium=api&utm_source=e74b959f
AI Engineer,Tomorro,"10ème Arrondissement, Paris","Ta mission Tu es Software Engineer, Data Scientist ou Machine Learning Engineer avec une expérience significative en IA générative et en développement d’agents IA ? Nous recherchons un talent technique pour rejoindre notre équipe spécialisée en Intelligence Artificielle au sein de notre solution SaaS de Contract Lifecycle Management (CLM). Ton rôle sera clé pour développer des solutions innovantes, optimiser notre architecture et automatiser le traitement des contrats juridiques. Ton expertise …",,full_time,2024-08-02,https://www.adzuna.fr/details/4807906090?utm_medium=api&utm_source=e74b959f
AI / GEN AI Manager F/H,Accenture,"Paris, Ile-de-France","L’équipe Accenture Data & AI, est le point focal de l’ensemble des services de transformation des entreprises en s’appuyant sur la data, les analytics et l’Intelligence Artificielle. Cette équipe est plus que jamais animée par un esprit entrepreneurial, dans un contexte d’accélération sans précédent de l’adoption de l’IA et de la transformation « data & AI driven ». Imaginez, transformez et impactez le monde positivement : venez vivre au cœur du changement en tant que AI/GenAI Manager (F/H) Cet…",permanent,,2024-11-14,https://www.adzuna.fr/details/4938938950?utm_medium=api&utm_source=e74b959f
Software / Gen AI Engineer  Joe AI,Inovexus,"8ème Arrondissement, Paris"," Ta mission Recherche et amélioration de l’IA vocale : Tu contribueras à la recherche et au développement de notre IA vocale, à l’automatisation de la gestion immobilière via des solutions d’IA générative, à l’optimisation des performances grâce au NLP et machine learning, tout en collaborant avec l’équipe produit et en participant aux décisions stratégiques pour faire évoluer Joe AI Polyvalence technique : Tu seras un véritable touche-à-tout, intervenant aussi bien sur le développement front-e…",,,2024-10-25,https://www.adzuna.fr/details/4913757360?utm_medium=api&utm_source=e74b959f
"AI Research Scientist, Generative AI Evaluation Foundations, AI Judges team",Meta,"Paris, Ile-de-France","Summary: The Generative AI Evaluation organization's mission is to measure GenAI models' progress (in particular Llama models) and accelerate the world's AI development. This implies building measurements and methodologies for these assessments. In particular, the AI judges team focuses on building evaluations relying on AI-assistance (e.g., LLM as judges, classifiers), covering a broad spectrum of metrics from helpfulness to safety. We are looking for a strong AI research scientist, with passi…",,,2024-11-12,https://www.adzuna.fr/details/4936753916?utm_medium=api&utm_source=e74b959f
Internship Data AI/ML Engineer (F/H),Tata Consultancy Services,"Ile-de-France, France","Localisation : 255 Quai de Stalingrad, 92130 Issy-les-Moulineaux Duration : 6 months Tata Consultancy Services (TCS) is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 55 years. As part of the Tata group, India's largest multinational business group - TCS has over 614,000 of the world’s best-trained consultants in 55 countries. TCS France is serving over 80 customers (re…",,,2024-11-15,https://www.adzuna.fr/land/ad/4939719431?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=5B346217D6E756D32BEA34952290B805016B1A6A
Chef de Projets Dechets - NG H/F,SCE,"Pont-Rousseau, Rezé","Plus de 120 collaborateurs et collaboratrices au sein de l'activité Environnement & Biodiversité de SCE oeuvrent à intégrer la prise en compte de l'environnement depuis l'élaboration des stratégies d'aménagement des territoires jusqu'à la réalisation des projets. Aujourd'hui bonne nouvelle, le collaborateur ou la collaboratrice que nous cherchons pourra facilement trouver sa place au sein de nos agences de Lyon, Nantes, ou Toulouse. Où que vous soyez hébergé(e), vous rejoindrez au sein du domai…",,full_time,2024-10-05,https://www.adzuna.fr/land/ad/4889477382?se=4BOfxTGn7xGTu9I66KEk9w&utm_medium=api&utm_source=e74b959f&v=EE76978747D33175D0E6027DDCF60BCAD90C8B07
