intitulé,catégorie,entreprise,localisation,type_contrat,temps_contrat,date_publication,url,salaire,description
Chargé / Chargée de communication (H/F),Communication / Multimédia,MJC,Provence-Alpes-Côte d'Azur,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JXXS,"35H Autre
occasionnel les soirs et week-end Salaire brut : Mensuel de 2037.75 Euros sur 12 mois","Le/La Chargé(e) de communication met en place des plans d'action afin de valoriser l'image de l'association, augmenter sa visibilité sur le territoire et développer la notoriété de ses projets, dans..."
CHARGE DE COMMUNICATION (H/F),Communication / Multimédia,MAIRIE CREIL,Hauts-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JXNS,37H Autre Salaire brut : Selon grille fonction publique,"Les médiathèques de la ville de Creil recherche un-e Chargé.e de communication pour remplacement de conges maternité.

Le Chargé de la communication (H/F) des Médiathèques conçoit des documents de..."
Chargé de communication F/H,Communication / Multimédia,Synergie,Occitanie,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JWWV,35H Travail en journée Salaire brut : Annuel de 35000.0 Euros à 40000.0 Euros sur 12.0 mois,"Notre client, acteur incontournable du transport aérien sur la région Toulousaine, est à la recherche d'un.e Chargé-e de Communication Interne et Institutionnelle (F/H) pour un poste à pourvoir en..."
Chef d'équipe / Team Leader (H/F),Communication / Multimédia,BIHR,Grand Est,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JWJX,"35H Travail posté (2x8, 3x8, 5x8, etc.) Salaire brut : Participation/action","Rattaché(e) à l'Outbound Manager, votre mission principale consiste à manager les équipes logistiques dédiées aux activités d'expédition, emballage, palettisation et contrôle dans l'objectif de..."
INTERPRÈTE & TRADUCTEUR KURDE/IRAQUIEN/SORANI/FRANCAIS (H/F),Communication / Multimédia,AFG INTERPRETARIAT,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JVGV,35H Autre Salaire brut : Mensuel de 2400.00 Euros sur 12 mois,"Nous recherchons 2 interprètes 

Le candidat retenu devra faire preuve des compétences et qualités suivantes :
Connaissance des normes d'interpréterait et de la traduction
Excellent niveau en..."
Interprète et traducteur  Pachtou /Français (H/F),Communication / Multimédia,AFG INTERPRETARIAT,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JVCM,35H Autre Salaire brut : Mensuel de 2200.00 Euros sur 12 mois,"Dans le cadre du développement de notre activité, nous sommes à la recherche de deux interprètes traducteur Pachtou /Français (H/F)
Vous avez des connaissances de la culture et de la société du pays..."
Chargé(e) de mission économique et de projet évènementiel (H/F),Communication / Multimédia,MAISON DE L ARTISAN,Occitanie,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JRYC,35H Autre Salaire brut : Annuel de 26000.00 Euros sur 12.0 mois,"Sous la responsabilité hiérarchique et fonctionnelle du Secrétaire Général et du Président, vos principales missions sont :

Chargé(e) de Mission économique : 
- La conception et le suivi de projets..."
CHEF.FE DE PROJET (H/F),Communication / Multimédia,IMAGECORP,La Réunion,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JQDM,35H Travail en journée Salaire brut : Annuel de 22000.0 Euros à 25000.0 Euros sur 12.0 mois,"Vous avez envie de co-créer des cultures de marque pour impacter le monde ? Cette annonce est faite pour vous !
Imagecorp est à la recherche de son.a nouveau.elle chef.fe de projet.

Vous aurez en..."
Responsable de communication (H/F),Communication / Multimédia,REDIAB YLANG 976,Mayotte,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JQCW,35H Autre Salaire brut : Mensuel de 2700.0 Euros sur 12.0 mois,"Réseau diabète RédiabYlang 976 recherche un (e) responsable de communication. Le poste est à pourvoir immédiatement en CDI Temps plein (35 heures hebdomadaires).
Les missions :
- Etablir un plan de..."
Graphiste (H/F),Communication / Multimédia,972 - SCHOELCHER,Martinique,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JPHM,35H Autre Salaire brut : selon profil,"Dans le cadre de votre activité, vous serez amené à effectuer les missions suivantes : 
Crée tout ou partie d'éléments graphiques et visuels en vue de produire un document imprimé, audiovisuel ou..."
