intitulé,catégorie,entreprise,localisation,type_contrat,temps_contrat,date_publication,url,salaire,description
Ouvrier / Ouvrière des espaces verts (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,80 - AMIENS,Hauts-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYTQ,35H Autre Salaire brut : SELON CONVENTION CCN51,"Au sein de l'Entreprise Adaptée, vous serez chargé(e) d'aménager et entretenir des espaces verts (parcs, jardins ) et des décors végétaux extérieurs.

Poste réservé aux personnes titulaires d'une..."
ACCOMPAGNATEUR RÉGIONALE ET CHARGE DE PROJET H/F,Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,ACCUEIL PAYSAN BOURGOGNE,Bourgogne-Franche-Comté,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYSF,"35H Autre
télétravail partiel possible Salaire brut : Mensuel de 2400 Euros sur 12 mois","En collaboration avec la coordinatrice régionale, les administrateurs, les bénévoles et les partenaires de l'association, vous aurez pour missions :
- L'accompagnement et le suivi des porteur.euses..."
(H/F)Technicien méthode,Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,INISTE RH,Bretagne,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYRX,35H Travail en journée Salaire brut : Horaire de 12.0 Euros à 12.0 Euros sur 12.0 mois,"Aquila RH Ploërmel, agence de recrutement, vous accompagne dans votre recherche d'emploi en intérim, CDD et CDI.
Nathalie et Sandrine sont à votre écoute pour échanger sur votre parcours et vos..."
Animateur scolaire/extrascolaire (H/F),Hôtellerie - Restauration / Tourisme / Animation,ASS PARC ORIENTAL,Pays de la Loire,CDD,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCMT,temps partiel - 10H Travail en journée Salaire brut : Horaire de 11.88 Euros sur 0.0 mois,"Le Parc Oriental de Maulévrier, situé à 12 kms de Cholet (49), est le plus grand jardin japonais d'Europe et il connait depuis quelques années une croissance importante de sa fréquentation (+ de 200..."
maître d'hôtel H/F,Hôtellerie - Restauration / Tourisme / Animation,ADEQUAT INTERIM ET RECRUTEMENT,Normandie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLW,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Notre agence Adéquat de Pont-l'Evêque recrute un maître d'hôtel F/H en CDI.

Vos futures missions :
- Vous avez en charge l'organisation du service en participant à la mise en place.
- Vous prendrez..."
Animateur / Animatrice d'activités périscolaires (H/F),Hôtellerie - Restauration / Tourisme / Animation,ASS DE LOISIRS EDUCATIFS ET DE FORMATION,Grand Est,CDD,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKT,temps partiel - 10H Travail en journée Salaire brut : Horaire de 12.12 Euros sur 12.0 mois,"Nous recherchons un-e Animateur-trice périscolaire pour rejoindre l'équipe de l'accueil périscolaire de KIENHEIM, dans le cadre d'un CDD de remplacement, 10h hebdomadaires, à partir du 06/01/2025..."
Personnel de service (H/F),Hôtellerie - Restauration / Tourisme / Animation,COLLEGE PRIVE SAINT-JOSEPH,Pays de la Loire,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKN,35H Travail en journée Salaire brut : Mensuel de 1802.0 Euros à 1950.0 Euros sur 12.0 mois,"En remplacement d'un congé de maladie, nous recherchons un/une personnel de service ayant des fonctions de :
- plonge et nettoyage, 
- service en restauration scolaire
- élaboration/confection repas"
Chef de cuisine en CDI à la frontière Suisse (H/F),Hôtellerie - Restauration / Tourisme / Animation,ANTEO RESTAURATION,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCJL,42H Travail en journée Salaire brut : Mensuel de 5000.0 Euros sur 12.0 mois,"ANTEO spécialiste du recrutement des métiers de l'hôtellerie-restauration cherche pour son client un.e CHEF DE CUISINE en CDI h/f.

L'établissement :
Restaurants bistronomiques et brasserie chics..."
Directeur / Directrice de restaurant (H/F),Hôtellerie - Restauration / Tourisme / Animation,LES CHARDONS BLEUS,Bretagne,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCJJ,39H Autre Salaire brut : SELON EXPERIENCE,"Dans le cadre du développement de notre activité, nous recherchons un Directeur H/F

Le poste requiert des compétences aussi bien humaines que techniques :
- des capacités de gestionnaire ;
- un bon..."
Serveur/ Serveuse des  Petits Déjeuner(H/F),Hôtellerie - Restauration / Tourisme / Animation,HOTEL MERCURE,Occitanie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHX,"39H Autre
Repos pris en semaine Salaire brut : Mensuel de 2040.00 Euros à 2100.00 Euros sur 12 mois","Nous recherchons un(e)e personne passionné(e) par l'hôtellerie restauration, qui a envie d'apprendre, d'évoluer mais aussi de s'investir et de participer à l'évolution d'un établissement riche en..."
Serveur (H/F),Hôtellerie - Restauration / Tourisme / Animation,YOOM,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHR,35H Travail en journée Salaire brut : Mensuel de 1955.0 Euros à 2000.0 Euros sur 12.0 mois,"Yoom recherche pour renforcer son équipe un Serveur / Serveuse en CDI 35H / par semaine

PROFIL RECHERCHE

Expérience :
- Expérience exigée +

Compétence:
*   Faire preuve d'un excellent relationnel,..."
Chef de cuisine en lycée public - La Roche s Yon (H/F),Hôtellerie - Restauration / Tourisme / Animation,ESPACE REGIONAL DE LA ROCHE SUR YON,Pays de la Loire,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHM,35H Travail en journée Salaire brut : Mensuel de 2178.0 Euros à 2180.0 Euros sur 12.0 mois,"La Région recrute pour un de ses lycées publics situé sur le secteur La Roche sur Yon un responsable restauration en CDD pour une durée de 2 mois.

En qualité de Responsable de restauration, vous..."
Animateur / Animatrice d'activités culturelles et de loisirs,Hôtellerie - Restauration / Tourisme / Animation,CC PICARDIE DES CHATEAUX,Hauts-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHB,35H Autre Salaire brut : Selon convention,"Missions :
Sous la responsabilité directe de la coordinatrice opérationnelle du centre social intercommunal, le/la référent(e) jeunesse assure les missions suivantes :
*Assurer la mise en place et..."
Restaurant  spécialité Indienne (H/F),Hôtellerie - Restauration / Tourisme / Animation,SUVAI,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCGW,35H Autre Salaire brut : Mensuel de 1801.8 Euros sur 12 mois,"Nous recherchons un cuisinier / une cuisinière pour notre restaurant SUVAI situé à Tremblay-En-France,  un restaurant de spécialité indienne.
 Nos plats sont tous préparés sur place avec des..."
Cuisinier / Cuisinière de collectivité,Hôtellerie - Restauration / Tourisme / Animation,ACTUAL SAINT NAZAIRE 1095,Pays de la Loire,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCGV,"35H Travail posté (2x8, 3x8, 5x8, etc.) Salaire brut : Horaire de 12.48 Euros sur 0.0 mois","En tant que cuisinier(ère), vous serez chargé(e) sous la responsabilité du chef d'atelier des missions suivantes.
Vos missions : 
- Réaliser les contrôles spécifiques.
- Assurer la propreté de..."
Pizzaïolo polyvalent H/F,Hôtellerie - Restauration / Tourisme / Animation,KIOSQUE A PIZZAS,Nouvelle-Aquitaine,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCFD,35H Autre Salaire brut : Mensuel de 2200.00 Euros à 3000.00 Euros sur 12 mois,"Adhérent enseigne nationale "" KIOSQUE A PIZZAS "", recherche un(e) pizzaïolo pour ses kiosques de LEOGNAN, VILLENAVE D'ORNON.
Possibilité de travailler sur les 2 sites selon lieu de vie et nécessité..."
Un(e) assistant(e) pizzaïolo (H/F),Hôtellerie - Restauration / Tourisme / Animation,KIOSQUE A PIZZAS,Nouvelle-Aquitaine,CDI,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCDQ,temps partiel - 15H Autre Salaire brut : Horaire de 11.88 Euros,"Adhérent enseigne nationale "" KIOSQUE A PIZZAS "", recherche un(e) assistant(e) pizzaïolo pour son kiosque de VILLENAVE D'ORNON. 

Vous aurez la charge de l'accueil téléphonique ou sur place, de la..."
Directeur/ Directrice adjoint de centre de loisir (H/F),Hôtellerie - Restauration / Tourisme / Animation,MAIRIE,Occitanie,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCCZ,35H Autre Salaire brut : Mensuel de 1801.80 Euros à 1850.00 Euros sur 12 mois,"La ville de Bessières recherche un(e) Directeur/ Directrice adjoint  d'accueil de loisirs pour intervenir à l'ALAE/ALSH élémentaire.

Gestion du budget
Elaboration du projet pédagogique
Animation des..."
Pizzaïolo polyvalent H/F,Hôtellerie - Restauration / Tourisme / Animation,KIOSQUE A PIZZAS,Nouvelle-Aquitaine,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCCV,35H Autre Salaire brut : Mensuel de 2200.00 Euros à 3000.00 Euros sur 12 mois,"Adhérent enseigne nationale "" KIOSQUE A PIZZAS "", recherche un(e) pizzaïolo pour ses kiosques de VILLENAVE D'ORNON, LEOGNAN et BEAUTIRAN.
Possibilité de travailler sur les 3 sites selon lieu de vie..."
RESPONSABLE PLONGE VAISSELLE - RESTAURATION COLLECTIVE (H/F),Hôtellerie - Restauration / Tourisme / Animation,13 - Marseille 9e Arrondissement,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCCQ,35H Travail en journée Salaire brut : Mensuel de 1802.0 Euros à 1803.0 Euros sur 12.0 mois,"Mission:
- Responsable du fonctionnement des machines et équipements de plonge,
- Encadre son équipe,
Activités principales :
- Assurer l'encadrement de son équipe,
- Alimenter et vérifier les..."
Un(e) assistant(e) pizzaïolo (H/F),Hôtellerie - Restauration / Tourisme / Animation,KIOSQUE A PIZZAS,Nouvelle-Aquitaine,CDI,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCBW,temps partiel - 15H Autre Salaire brut : Horaire de 11.88 Euros,"Adhérent enseigne nationale "" KIOSQUE A PIZZAS "", recherche un(e) assistante(e) pizzaïolo pour son kiosque de BEGLES. 

Vous aurez la charge de l'accueil téléphonique ou sur place, de la prise de..."
Un(e) assistant(e) pizzaïolo (H/F),Hôtellerie - Restauration / Tourisme / Animation,KIOSQUE A PIZZAS,Nouvelle-Aquitaine,CDI,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCBF,temps partiel - 15H Autre Salaire brut : Horaire de 11.88 Euros,"Adhérent enseigne nationale "" KIOSQUE A PIZZAS "", recherche un(e) assistant(e) pizzaïolo pour son kiosque de TALENCE. 

Vous aurez la charge de l'accueil téléphonique ou sur place, de la prise de..."
Un(e) assistant(e) pizzaïolo (H/F),Hôtellerie - Restauration / Tourisme / Animation,KIOSQUE A PIZZAS,Nouvelle-Aquitaine,CDI,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBYW,temps partiel - 15H Autre Salaire brut : Horaire de 11.88 Euros,"Adhérent enseigne nationale "" KIOSQUE A PIZZAS "", recherche un(e) assistant(e) pizzaïolo pour son kiosque du BOUSCAT. 

Vous aurez la charge de l'accueil téléphonique ou sur place, de la prise de..."
GESTIONNAIRE LOCATIF (H/F),Immobilier,NVO RH,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCGL,35H Travail en journée Salaire brut : Annuel de 25000.0 Euros à 30000.0 Euros sur 12.0 mois,"Lieu : Villeurbanne
Contrat : CDI
Disponibilité : Dès que possible

Rejoignez une entreprise en pleine croissance et gérez un portefeuille locatif d'exception !
Vous êtes passionné par l'immobilier..."
Directeur du Développement Foncier H/F (H/F),Immobilier,NEXITY,Centre-Val de Loire,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBQL,35H Travail en journée Salaire brut : selon profil,"Description de l'entreprise

Aménageur urbain et promoteur-exploitant au service de tous, nous sommes proches du quotidien de nos clients, de nos partenaires et de nos collaborateurs, qui sont notre..."
Gestionnaire contrats énergie (parc locatif) (H/F),Immobilier,NEOLIA,Bourgogne-Franche-Comté,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZLH,37H Autre Salaire brut : Mensuel de 1987.0 Euros à 2300.0 Euros sur 13.0 mois,"Vous gérez les contrats rattachés au fonctionnement d'un parc immobilier locatif plus spécifiquement chauffage et ascenseur : 
A ce titre, vous intervenez au niveau : des contrats de fourniture..."
Gestionnaire de Copropriété (H/F),Immobilier,IMMO DE FRANCE-AIN,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZCN,39H Travail en journée Salaire brut : Rémunération Selon Profil,"Description du poste
Depuis près de 30 ans, IMMO DE FRANCE AIN, membre du réseau PROCIVIS AIN, propose une gamme complète de services immobiliers : transaction, location, gestion et syndic de..."
Gestionnaire immobilier (H/F),Immobilier,ASS INT CTRE MED SOCIAUX REG ILE FRANCE,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYYZ,36H Travail en journée Salaire brut : Chèque repas,"L'ACMS est un service interentreprises de santé au travail qui intervient sur les huit départements d'Île-de-France.

Afin d'exercer au mieux sa mission - ""Éviter toute altération de la santé des..."
Conseiller / Conseillère de transaction en immobilier (H/F),Immobilier,LAFORET AJ IMMOBILIER,Provence-Alpes-Côte d'Azur,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYXP,"35H Autre
Commission selon profil Salaire brut : Mensuel de 1801.8 Euros sur 12 mois","Tu souhaites t'investir au sein d'une équipe à taille humaine soudée et tu as pour ambition d'évoluer rapidement dans un cadre de travail convivial ?  N'attend plus : rejoins le groupe Laforêt, à..."
ASSISTANT DE COPROPRIETE (H/F),Immobilier,LCM CONSEIL,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYQL,35H Travail en journée Salaire brut : Rémunération selon profil,"LCM CONSEIL recherche assistant de copropriété H/F à plein temps en CDI 
Rattaché au gestionnaire, vous assurez la gestion quotidienne de plusieurs copropriétés :
- Accueil physique et téléphonique..."
Négociateur / Négociatrice en immobilier (H/F),Immobilier,RE/MAX AVANTAGE,Île-de-France,Profession commerciale,Non renseigné,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYFT,Travail en journée Rémunération : 80% du CA généré,"Pour aider nos clients à concrétiser leurs projets immobiliers, vos missions seront de :

- Prospecter pour trouver des vendeurs et acquéreurs qualifiés.
- Réaliser des estimations précises et plan..."
Conseiller / Conseillère immobilier (H/F),Immobilier,NESTENN,Pays de la Loire,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JWMY,35H Autre Salaire brut : Primes,"Nestenn Nantes Chantenay/Ste Anne /Zola recrute un(e) conseiller(e) immobilier pour son agence de Nantes .

Vous souhaitez  intégrer une équipe motivée et dynamique ? 

Le poste de conseiller(e)..."
Consultant en Immobilier d' Entreprise (H/F),Immobilier,A.C.C CONSEILS,Pays de la Loire,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JWFM,35H Travail en journée Salaire brut : Mobile,"Cabinet spécialisé en immobilier d'entreprise basé au Mans, dans le cadre de son expansion, ADVENIS Le Mans recrute un(e) Consultant(e) en immobilier d'entreprise afin de participer au développement..."
Gérant Technique H/F,Immobilier,CRIT,Normandie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JVNP,35H Travail en journée Salaire brut : Annuel de 22000.0 Euros à 25000.0 Euros sur 12.0 mois,"Dans le cadre du développement de son activité, nous recherchons pour notre client, un Gérant Technique H/F en CDI. 
Le poste est basé à Argentan et requiert une expérience de 2 à 5 ans.

- Exécuter..."
GESTIONNAIRE LOCATIF H/F (H/F),Immobilier,C.I.S. IMMOBILIER,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JVLC,35H Travail en journée Salaire brut : Primes,"Le Groupe CIS regroupe tous les métiers immobiliers sur le territoire de la Savoie depuis plus de 40 ans. Acteur engagé de l'économie sociale et solidaire, sa singularité consiste en son modèle..."
Responsable Patrimoine (H/F),Immobilier,COMMUNAUTE DE COMMUNES DE L'ERNEE,Pays de la Loire,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JTTX,39H Autre Salaire brut : Mensuel de 2100.0 Euros sur 12.0 mois,"Dans ce cadre, la Communauté de communes de l'Ernée recrute : 
SON RESPONSABLE PATRIMOINE

Rattaché(e) au responsable du pôle technique, vous avez pour mission principale la gestion technique des..."
Conseiller Immobilier (H/F),Immobilier,HUMAN IMMOBILIER,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JTFM,35H Autre Salaire brut : Mensuel de 2000.00 Euros sur 12 mois,"Depuis 44 ans notre Groupe est engagé dans une vision claire et sans compromis des métiers de l'immobilier. Intimement convaincus que les services immobiliers doivent évoluer en profondeur, nous..."
Agent Immobilier h/f (H/F),Immobilier,MASALEX CONSEIL,Provence-Alpes-Côte d'Azur,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JRVZ,35H Autre Salaire brut : Primes en indépendant,"Le poste

MASALEX CONSEIL, recrute pour son client, agence immobilière de prestige, un négociateur en immobilier statut indépendant.
Au sein d'une agence à taille familiale, vous participez à son..."
Chef ou Cheffe de pôle valorisation immobilière (H/F),Immobilier,SNCF GARE DE ST DENIS STADE DE FRANCE,Nouvelle-Aquitaine,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JQDS,35H Travail en journée Salaire brut : à définir selon profil,"Chef ou Cheffe de pôle valorisation immobilière
Publiée le 09/12/2024

Description de l'employeur
Rejoindre SNCF, c'est choisir de construire votre avenir dans une entreprise qui sait encourager la..."
Chargé de développement foncier photovoltaïques (h/f),Immobilier,ADECCO,Occitanie,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JPHB,35H Autre Salaire brut : Annuel de 40000.0 Euros à 55000.0 Euros sur 12.0 mois,"LHH Recruitment Solutions, cabinet de conseil en recrutement, travail temporaire spécialisé, gestion de transition et évaluation d'experts, cadres et dirigeants recherche pour son client, basé à..."
Gestionnaire locatif H/F,Immobilier,ADECCO,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JPGZ,35H Travail en journée Salaire brut : Annuel de 35000.0 Euros à 40000.0 Euros sur 12.0 mois,"LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client un..."
Opérateur découpe matière  H/F,Industrie,ADEQUAT INTERIM ET RECRUTEMENT,Occitanie,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCPB,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Notre agence Adéquat Blagnac recrute un Opérateur découpe matière (débit) (F/H) pour notre client dans l'aéronautique.

Vos missions :

- Préparer la machine-outil appropriée (réglage et paramétrage)..."
Opérateur de conditionnement (F/H),Industrie,ADEQUAT INTERIM,Hauts-de-France,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCNY,35H Travail en horaires décalés Salaire brut : Mensuel de 1802.0 Euros à 1833.0 Euros sur 12.0 mois,"Notre agence Adéquat St Quentin recrute un ou une opérateur de conditionnement F/H pour une mission intérim située à St Quentin pour un client spécialisé en cosmétique.

Vos futures missions :

-..."
SOUDEUR TIG (H/F),Industrie,ABOUTIR EMPLOI OUEST,Pays de la Loire,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCNQ,35H Travail en journée Salaire brut : Mensuel de 1802.0 Euros à 2500.0 Euros sur 12.0 mois,"Bonjour et bienvenue chez Aboutir Emploi Challans ! Nous recrutons, pour l'un de nos clients un SOUDEUR TIG Inox h/f. Descriptif des tâches : 
- Préparation des matériaux et des pièces à souder selon..."
Préparateur de commandes/Livraison H/F,Industrie,ADEQUAT INTERIM,Auvergne-Rhône-Alpes,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCNN,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Votre agence Adéquat de MONISTROL SUR LOIRE recrute un Préparateur de commandes/Livraison F/H pour son client, en CDI.

Situé au Pertuis, notre client est spécialisé dans la transformation de..."
Chaudronnier h/f,Industrie,ADEQUAT INTERIM,Nouvelle-Aquitaine,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCNL,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Notre agence Adéquat de Châtellerault recrute des nouveaux talents : Chaudronnier (F/H) en CDI.

Vos missions :
- lecture de plans
- Traçage des formes
- Découpage / pliage / cintrage /..."
Opérateur de production (H/F,Industrie,ADEQUAT INTERIM ET RECRUTEMENT,Normandie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCNJ,35H Travail en horaires décalés Salaire brut : Mensuel de 1802.0 Euros à 1833.0 Euros sur 12.0 mois,"Notre agence Adéquat de Pont l'évêque recrute des nouveaux talents sur des postes d'Opérateur de Fabrication (F/H).

Missions :

- Assemblage de composants pour coffret électrique
- Utilisation de..."
Technicien méthodes-industrialisation (H/F),Industrie,LT EVOLUTIONS,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCMP,35H Travail en journée Salaire brut : Annuel de 35000.0 Euros à 45000.0 Euros sur 12.0 mois,"Vous êtes passionné par l'optimisation des processus industriels et souhaitez contribuer à l'innovation dans un environnement dynamique ? Nous avons une opportunité pour vous !

LYNX RH, cabinet de..."
Outilleur à chaud (H/F),Industrie,ALLIANCE EMPLOI,Hauts-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCMN,"35H Travail posté (2x8, 3x8, 5x8, etc.) Salaire brut : Mensuel de 1972.0 Euros sur 12.0 mois","Nous sommes à la recherche d'un Outilleur H/F pour une entreprise partenaire issue de la métallurgie et spécialisée dans la fabrication de tubes, tuyaux et profilés creux.

Rattaché(e) au Chef..."
Responsable d'activité (H/F),Industrie,ADEQUAT INTERIM,Bourgogne-Franche-Comté,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCMH,35H Travail en horaires décalés Salaire brut : Mensuel de 3300.0 Euros à 3300.0 Euros sur 12.0 mois,"Notre agence Adéquat de Vesoul recrute des nouveaux talents pour son client expert en tuyauterie.

Missions :
- Animer et gérer ses équipes et le différents ateliers
- Assurer la sécurité sur le..."
SOUDEUR (F/H),Industrie,ADEQUAT INTERIM ET RECRUTEMENT,Hauts-de-France,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCMF,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Mission longue ou courte durée selon profil et disponibilité à BEAUTOR - Expérience d'un an minimum.

Notre agence Adéquat de CHAUNY recrute des nouveaux talents : SOUDEUR MAG (F/H)

Missions :

-..."
H/F,Industrie,ADEQUAT INTERIM,Île-de-France,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLX,35H Travail en horaires décalés Salaire brut : Mensuel de 1802.0 Euros à 1833.0 Euros sur 12.0 mois,"Adequat recherche pour la mission :

Sous l'autorité directe du Responsable Qualité Hygiène Sécurité Environnement Responsabilité Sociétale des Entreprises (QHSE-RSE) rattaché à la Direction..."
PREPARATEUR TECHNIQUE F/H,Industrie,ADEQUAT INTERIM,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLP,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Notre agence ADEQUAT Albertville, recrute pour son client spécialisé dans la location de matériels et équipements de chantier, un(e) Préparateur(trice) Technique H/F.

Poste à pourvoir de suite, en..."
Opérateur onduleuse H/F,Industrie,ONDUPACK,Occitanie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLL,35H Autre Salaire brut : Annuel de 21700.00 Euros à 25000.00 Euros sur 12 mois,"Au sein de notre atelier de production, vous êtes chargés de seconder le conducteur onduleuse dans ses opérations de réglages et d'optimisation de production.
Vous participez aux réglages et à la..."
Ingénieur ME / Généraliste F/H,Industrie,ADEQUAT INTERIM,Occitanie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLB,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,En tant qu'Ingénieur vous jouerez un rôle essentiel dans l'amélioration continue de nos processus de production. Vous aurez la charge d'optimiser les méthodes de fabrication et d'assurer le bon...
Opérateur finitions (F/H),Industrie,ADEQUAT 135,Normandie,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKY,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Notre agence Adéquat de Cherbourg recrute un Opérateur finitions (f/h).

Prêt(e) à relever le défi ?

Vos missions :

- Prendre connaissance des documents transmis dans le dossier de fabrication.

-..."
Monteur F/H,Industrie,ADEQUAT INTERIM,Normandie,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKV,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,"Adéquat recrute pour un de ses clients, des Monteur en métalerie chaudronnerie (F/H) sur le secteur de Penly et Paluel, Titulaire de ses habilitations nuclaires (SCN2)

Missions :

- Maîtriser les..."
Visite d'entreprise EUROP'A (H/F),Industrie,PARTNAIRE,Pays de la Loire,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKK,"38H Travail posté (2x8, 3x8, 5x8, etc.) Salaire brut : Horaire de 12.0 Euros à 12.0 Euros sur 12.0 mois","PARTNAIRE LES HERBIERS accompagne son client basé à Beaurepaire,  principal acteur français du bâtiment en construction métallique, bois et béton et fort de son expérience de plus de 70 ans dans le..."
